bone,gender,type,probability,sensitivity,specificity
femur,female,mean,0.2146341,0.957,0.196
femur,female,mean,0.219659,0.936,0.196
femur,female,mean,0.2242014,0.936,0.186
femur,female,mean,0.2350459,0.936,0.176
femur,female,mean,0.2419762,0.915,0.176
femur,female,mean,0.2597785,0.894,0.176
femur,female,mean,0.2842252,0.894,0.167
femur,female,mean,0.3019758,0.894,0.157
femur,female,mean,0.3251355,0.894,0.147
femur,female,mean,0.3421363,0.872,0.147
femur,female,mean,0.3482372,0.872,0.137
femur,female,mean,0.3590688,0.872,0.127
femur,female,mean,0.3871864,0.872,0.118
femur,female,mean,0.4287309,0.872,0.108
femur,female,mean,0.4590515,0.872,0.098
femur,female,mean,0.4670575,0.872,0.088
femur,female,mean,0.4679207,0.872,0.078
femur,female,mean,0.4691523,0.872,0.069
femur,female,mean,0.4754874,0.872,0.059
femur,female,mean,0.4841273,0.872,0.049
femur,female,mean,0.49539,0.851,0.049
femur,female,mean,0.5268245,0.851,0.039
femur,female,mean,0.551881,0.851,0.029
femur,female,mean,0.5885789,0.851,0.02
femur,female,mean,0.6281146,0.83,0.02
femur,female,mean,0.6624564,0.809,0.02
femur,female,mean,0.7152291,0.787,0.02
femur,female,mean,0.7407413,0.766,0.02
femur,female,mean,0.7435385,0.745,0.02
femur,female,mean,0.7450593,0.723,0.02
femur,female,mean,0.7496098,0.702,0.02
femur,female,mean,0.7541132,0.681,0.02
femur,female,mean,0.7760041,0.66,0.02
femur,female,mean,0.8041344,0.638,0.02
femur,female,mean,0.8124397,0.617,0.02
femur,female,mean,0.8157185,0.596,0.02
femur,female,mean,0.8207224,0.574,0.02
femur,female,mean,0.8231039,0.553,0.02
femur,female,mean,0.8233482,0.553,0.01
femur,female,mean,0.8319313,0.532,0.01
femur,female,mean,0.8411552,0.511,0.01
femur,female,mean,0.8429921,0.489,0.01
femur,female,mean,0.8596637,0.468,0.01
femur,female,mean,0.8772409,0.447,0.01
femur,female,mean,0.8801405,0.426,0.01
femur,female,mean,0.8826608,0.404,0.01
femur,female,mean,0.8858291,0.383,0.01
femur,female,mean,0.8885483,0.362,0.01
femur,female,mean,0.8898505,0.34,0.01
femur,female,mean,0.8902453,0.34,0
femur,female,mean,0.8904495,0.319,0
femur,female,mean,0.8915981,0.298,0
femur,female,mean,0.8993448,0.277,0
femur,female,mean,0.9063661,0.255,0
femur,female,mean,0.90696,0.234,0
femur,female,mean,0.9072875,0.213,0
femur,female,mean,0.9077098,0.191,0
femur,female,mean,0.914168,0.17,0
femur,female,mean,0.9215684,0.149,0
femur,female,mean,0.9239291,0.128,0
femur,female,mean,0.9258408,0.106,0
femur,female,mean,0.9284211,0.085,0
femur,female,mean,0.9390853,0.064,0
femur,female,mean,0.9502655,0.043,0
femur,female,mean,0.9542927,0.021,0
femur,female,mean,1,0,0
femur,female,sd,0,1,1
femur,female,sd,0,1,0.99
femur,female,sd,0,1,0.98
femur,female,sd,0,1,0.971
femur,female,sd,0,1,0.961
femur,female,sd,0,1,0.951
femur,female,sd,0.0000001,1,0.941
femur,female,sd,0.0000001,1,0.931
femur,female,sd,0.0000001,1,0.922
femur,female,sd,0.0000002,1,0.912
femur,female,sd,0.0000002,1,0.902
femur,female,sd,0.0000003,1,0.892
femur,female,sd,0.0000005,1,0.882
femur,female,sd,0.0000008,1,0.873
femur,female,sd,0.0000009,1,0.863
femur,female,sd,0.0000013,1,0.853
femur,female,sd,0.0000017,1,0.843
femur,female,sd,0.000002,1,0.833
femur,female,sd,0.000002,1,0.824
femur,female,sd,0.0000021,1,0.814
femur,female,sd,0.0000022,1,0.804
femur,female,sd,0.0000031,1,0.794
femur,female,sd,0.0000045,1,0.784
femur,female,sd,0.0000054,1,0.775
femur,female,sd,0.0000064,1,0.765
femur,female,sd,0.0000072,1,0.755
