Positive if Greater Than or Equal Toa,Sensitivity,1 - Specificity
0.2581828,0.922,0.293
0.2589787,0.922,0.287
0.2607489,0.922,0.28
0.2665276,0.922,0.273
0.2721812,0.922,0.267
0.2741543,0.922,0.26
0.2762315,0.922,0.253
0.2788541,0.922,0.247
0.2821668,0.922,0.24
0.2881198,0.922,0.233
0.2926257,0.922,0.227
0.2961887,0.922,0.22
0.2995399,0.922,0.213
0.3004856,0.922,0.207
0.303085,0.922,0.2
0.3077917,0.922,0.193
0.3118304,0.922,0.187
0.3143063,0.902,0.187
0.3160058,0.902,0.18
0.3190959,0.902,0.173
0.3224334,0.902,0.167
0.3252811,0.902,0.16
0.3278032,0.902,0.153
0.3301258,0.902,0.147
0.3320326,0.902,0.14
0.3323245,0.902,0.133
0.3364506,0.902,0.127
0.3434852,0.882,0.127
0.3473678,0.882,0.12
0.3529076,0.882,0.113
0.3581617,0.882,0.107
0.3621306,0.863,0.107
0.3655111,0.843,0.107
0.365863,0.843,0.1
0.3665816,0.843,0.093
0.3680123,0.824,0.093
0.3691765,0.804,0.093
0.370096,0.784,0.093
0.370917,0.765,0.093
0.3761477,0.745,0.093
0.3843024,0.725,0.093
0.3877263,0.706,0.093
0.3911127,0.686,0.093
0.3953292,0.686,0.087
0.3981954,0.686,0.08
0.4003019,0.667,0.08
0.4058333,0.667,0.073
0.4110055,0.647,0.073
0.4115452,0.647,0.067
0.4153004,0.627,0.067
0.4187362,0.608,0.067
0.4190456,0.608,0.06
0.4232801,0.588,0.06
0.4384143,0.569,0.06
0.4514152,0.549,0.06
0.4613436,0.529,0.06
0.4693972,0.529,0.053
0.4697285,0.529,0.047
0.4717921,0.51,0.047
0.4744141,0.49,0.047
0.480139,0.49,0.04
0.4853085,0.471,0.04
0.4886195,0.451,0.04
0.4918417,0.431,0.04
0.4942933,0.412,0.04
0.4970455,0.392,0.04
0.4985168,0.373,0.04
0.502579,0.373,0.033
0.5090077,0.373,0.027
0.5137066,0.353,0.027
0.5164594,0.353,0.02
0.5194358,0.353,0.013
0.5218023,0.333,0.013
0.5294057,0.333,0.007
0.5380498,0.314,0.007
0.5403424,0.294,0.007
0.5418649,0.275,0.007
0.5432251,0.255,0.007
0.5442429,0.235,0.007
0.5509587,0.216,0.007
0.5622921,0.196,0.007
0.571237,0.176,0.007
0.5772159,0.157,0.007
0.5891984,0.137,0.007
0.6154126,0.118,0.007
0.6491147,0.098,0.007
0.6688783,0.078,0.007
0.6809435,0.059,0.007
0.754901,0.039,0.007
0.8407387,0.039,0
0.9091051,0.02,0
1,0,0
